,date,total_ips,total_server,total_server_changed,total_ips_changed,percent_changed_ips
0,2022-01-02,305,182,43,166,54.43
1,2022-01-03,320,187,46,179,55.94
2,2022-01-04,323,191,45,177,54.8
3,2022-01-05,315,187,46,174,55.24
4,2022-01-06,312,186,43,169,54.17
5,2022-01-07,313,185,45,173,55.27
6,2022-01-08,300,178,41,163,54.33
7,2022-01-09,297,173,43,167,56.23
8,2022-01-10,313,183,43,173,55.27
9,2022-12-21,244,129,35,150,61.48
10,2022-12-22,235,124,32,143,60.85
11,2022-12-23,230,119,34,145,63.04
12,2022-12-24,191,107,26,110,57.59
13,2022-12-25,162,82,23,103,63.58
